emoji,CLRDname,Index,count,first,last,posnetneg,total,unicodeorgmediumclass,unicodeorgbigclass,unicodeyear,userunknown,UnicodeAbstraction
\U0001f381,:wrapped_gift:,1945,3,2015-10-15,2017-10-26,,3,event,Activities,2010,False,"u'\U0001F381',"
\U0001f374,:fork_and_knife:,1719,2,2018-12-31,2010-01-01,,2,dishware,Food & Drink,2010,False,"u'\U0001F374',"
\U0001f476,:baby:,110,3,2018-12-31,2010-01-01,,3,person,Smileys & People,2010,False,"u'\U0001F476 \U0001F3FC',"
\U0001f45c,:handbag:,1489,3,2018-12-31,2010-01-01,,3,clothing,Smileys & People,2010,False,"u'\U0001F45C',"
\U0001f923,:rolling_on_the_floor_laughing:,4,17,2016-12-18,2017-11-26,,19,face-positive,Smileys & People,2016,False,"u'\U0001F923',"
\U0001f44e,:thumbs_down:,1338,11,2015-03-22,2016-07-02,,17,body,Smileys & People,2010,False,"u'\U0001F44E \U0001F3FE',"
\U0001f371,:bento_box:,1674,2,2016-06-26,2016-06-26,,2,food-asian,Food & Drink,2010,False,"u'\U0001F371',"
\U0001f6ec,:airplane_arrival:,1838,6,2016-07-04,2016-07-24,,14,transport-air,Travel & Places,2014,False,"u'\U0001F6EC',"
\U0001f234,:Japanese_passing_grade_button:,2329,1,2018-12-31,2010-01-01,,1,alphanum,Symbols,2010,False,"u'\U0001F234',"
\U0001f64c,:raising_hands:,1403,27,2015-07-25,2017-06-09,,33,body,Smileys & People,2010,False,"u'\U0001F64C \U0001F3FD',"
\U0001f45f,:running_shoe:,1494,2,2018-12-31,2010-01-01,,2,clothing,Smileys & People,2010,False,"u'\U0001F45F',"
\U0001f320,:shooting_star:,1903,1,2018-12-31,2010-01-01,,1,sky & weather,Travel & Places,2010,False,"u'\U0001F320',"
\U0001f5ff,:moai:,2148,1,2018-12-31,2010-01-01,,1,other-object,Objects,2010,False,"u'\U0001F5FF',"
\U0001f487,:person_getting_haircut:,830,3,2018-12-31,2010-01-01,,3,person-activity,Smileys & People,2010,False,"u'\U0001F487 \U0001F3FC \U0000200D \U00002640 \U0000FE0F',"
\u2615,:hot_beverage:,1705,39,2015-09-21,2017-08-02,,49,drink,Food & Drink,2003,False,"u'\U00002615',"
